company_name,symbol,exchange,country
apple,AAPL,NASDAQ,United States
microsoft,MSFT,NASDAQ,United States
google,GOOGL,NASDAQ,United States
amazon,AMZN,NASDAQ,United States
meta,META,NASDAQ,United States
nvidia,NVDA,NASDAQ,United States
tesla,TSLA,NASDAQ,United States
intel,INTC,NASDAQ,United States
netflix,NFLX,NASDAQ,United States
adobe,ADBE,NASDAQ,United States
Cisco Systems, CSCO, NASDAQ, United States
Comcast, CMCSA, NASDAQ, United States
PepsiCo, PEP, NASDAQ, United States
PayPal, PYPL, NASDAQ, United States
Qualcomm, QCOM, NASDAQ, United States
Starbucks, SBUX, NASDAQ, United States
eBay, EBAY, NASDAQ, United States
Amgen, AMGN, NASDAQ, United States
Booking Holdings, BKNG, NASDAQ, United States
Costco, COST, NASDAQ, United States
Intuit, INTU, NASDAQ, United States
Lam Research, LRCX, NASDAQ, United States
Micron Technology, MU, NASDAQ, United States
Zoom Video, ZM, NASDAQ, United States
T-Mobile, TMUS, NASDAQ, United States
Reliance Industries, RELIANCE.BSE, BSE, India
Tata Consultancy Services, TCS.BSE, BSE, India
Infosys, INFY.BSE, BSE, India
HDFC Bank, HDFCBANK.BSE, BSE, India
ICICI Bank, ICICIBANK.BSE, BSE, India
State Bank of India, SBIN.BSE, BSE, India
Larsen & Toubro, LT.BSE, BSE, India
Tata Motors, TATAMOTORS.BSE, BSE, India
Bharti Airtel, BHARTIARTL.BSE, BSE, India
Asian Paints, ASIANPAINT.BSE, BSE, India
Hindustan Unilever, HINDUNILVR.BSE, BSE, India
ITC, ITC.BSE, BSE, India
Axis Bank, AXISBANK.BSE, BSE, India
Kotak Mahindra Bank, KOTAKBANK.BSE, BSE, India
Bajaj Finance, BAJFINANCE.BSE, BSE, India
Wipro, WIPRO.BSE, BSE, India
HCL Technologies, HCLTECH.BSE, BSE, India
UltraTech Cement, ULTRACEMCO.BSE, BSE, India
Maruti Suzuki, MARUTI.BSE, BSE, India
Sun Pharma, SUNPHARMA.BSE, BSE, India
Tech Mahindra, TECHM.BSE, BSE, India
Adani Enterprises, ADANIENT.BSE, BSE, India
Power Grid Corporation, POWERGRID.BSE, BSE, India
NTPC, NTPC.BSE, BSE, India
Bajaj Auto, BAJAJ-AUTO.BSE, BSE, India
Hindustan Unilever, HINDUNILVR.BSE, BSE, India
ITC, ITC.BSE, BSE, India
Axis Bank, AXISBANK.BSE, BSE, India
Kotak Mahindra Bank, KOTAKBANK.BSE, BSE, India
Bajaj Finance, BAJFINANCE.BSE, BSE, India
Wipro, WIPRO.BSE, BSE, India
HCL Technologies, HCLTECH.BSE, BSE, India
UltraTech Cement, ULTRACEMCO.BSE, BSE, India
Maruti Suzuki, MARUTI.BSE, BSE, India
Sun Pharma, SUNPHARMA.BSE, BSE, India
Tech Mahindra, TECHM.BSE, BSE, India
Adani Enterprises, ADANIENT.BSE, BSE, India
Power Grid Corporation, POWERGRID.BSE, BSE, India
NTPC, NTPC.BSE, BSE, India
Bajaj Auto, BAJAJ-AUTO.BSE, BSE, India
HCL Technologies, HCLTECH.BSE, BSE, India
UltraTech Cement, ULTRACEMCO.BSE, BSE, India
Maruti Suzuki, MARUTI.BSE, BSE, India
Sun Pharma, SUNPHARMA.BSE, BSE, India
Tech Mahindra, TECHM.BSE, BSE, India
Adani Enterprises, ADANIENT.BSE, BSE, India
Power Grid Corporation, POWERGRID.BSE, BSE, India
NTPC, NTPC.BSE, BSE, India
Bajaj Auto, BAJAJ-AUTO.BSE, BSE, India
Cisco Systems, CSCO, NASDAQ, United States
Comcast, CMCSA, NASDAQ, United States
Qualcomm, QCOM, NASDAQ, United States
Starbucks, SBUX, NASDAQ, United States
eBay, EBAY, NASDAQ, United States
Amgen, AMGN, NASDAQ, United States
Booking Holdings, BKNG, NASDAQ, United States
Costco, COST, NASDAQ, United States
Intuit, INTU, NASDAQ, United States
Lam Research, LRCX, NASDAQ, United States
Micron Technology, MU, NASDAQ, United States
Zoom Video, ZM, NASDAQ, United States
T-Mobile, TMUS, NASDAQ, United States
